[2022-04-12 10:34:34,798] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/venv/lib/python3.7/site-packages/werkzeug/_internal.py:_log:224} INFO -  * Running on http://127.0.0.1:5000 (Press CTRL+C to quit)
[2022-04-12 10:34:37,779] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/venv/lib/python3.7/site-packages/werkzeug/_internal.py:_log:224} INFO - 127.0.0.1 - - [12/Apr/2022 10:34:37] "GET /apiflask/v1/navel/download?website=zhsxs&navelId=60155 HTTP/1.1" 200 -
[2022-04-12 10:34:38,783] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,783] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,783] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,784] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,784] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,784] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,784] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,785] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,785] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,785] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,785] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,785] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
